model,layer,speaker,style,fileid,score
hubert_base,11,ex03,conv-happy,ex03-ex01_happy_002-ex03_happy_css001.wav,9.312799263753366
hubert_base,11,ex03,conv-happy,ex03-ex01_happy_002-ex03_happy_css000.wav,7.948303985800021
hubert_base,11,ex03,conv-sarcastic,ex03-ex01_sarcastic_002-ex03_sarcastic_css004.wav,6.082769626349551
hubert_base,11,ex03,conv-sarcastic,ex03-ex01_sarcastic_002-ex03_sarcastic_css000.wav,7.582611616126102
hubert_base,11,ex03,conv-sarcastic,ex03-ex01_sarcastic_002-ex03_sarcastic_css003.wav,6.33629010037887
hubert_base,11,ex03,conv-sarcastic,ex03-ex01_sarcastic_002-ex03_sarcastic_css002.wav,6.984095401635424
hubert_base,11,ex03,conv-sarcastic,ex03-ex01_sarcastic_002-ex03_sarcastic_css005.wav,6.219635807574656
hubert_base,11,ex03,conv-sarcastic,ex03-ex01_sarcastic_002-ex03_sarcastic_css001.wav,6.6926841152531225
hubert_base,11,ex03,conv-sarcastic,ex03-ex01_sarcastic_002-ex03_sarcastic_css006.wav,6.410686016356811
hubert_base,11,ex03,conv-sleepy,ex03-ex01_sleepy_003-ex03_sleepy_css004.wav,6.230042576053306
hubert_base,11,ex03,conv-sleepy,ex03-ex01_sleepy_003-ex03_sleepy_css001.wav,6.80588980166139
hubert_base,11,ex03,conv-sleepy,ex03-ex01_sleepy_003-ex03_sleepy_css003.wav,7.282337851383137
hubert_base,11,ex03,conv-sleepy,ex03-ex01_sleepy_003-ex03_sleepy_css005.wav,7.488190655409683
hubert_base,11,ex03,conv-sleepy,ex03-ex01_sleepy_003-ex03_sleepy_css002.wav,9.588286877930429
hubert_base,11,ex03,conv-sleepy,ex03-ex01_sleepy_003-ex03_sleepy_css000.wav,8.13580589977453
hubert_base,11,ex03,conv-animal,ex03-ex02_animal-animaldir_007-ex03_animal_css003.wav,8.326051812335594
hubert_base,11,ex03,conv-animal,ex03-ex02_animal-animaldir_007-ex03_animal_css002.wav,6.850348496306635
hubert_base,11,ex03,conv-animal,ex03-ex02_animal-animaldir_007-ex03_animal_css004.wav,8.07575187109549
hubert_base,11,ex03,conv-animal,ex03-ex02_animal-animaldir_007-ex03_animal_css001.wav,7.77367129459084
hubert_base,11,ex03,conv-animal,ex03-ex02_animal-animaldir_007-ex03_animal_css000.wav,12.006005383142188
hubert_base,11,ex03,conv-sympathetic,ex03-ex02_sympathetic-sad_015-ex03_sympathetic_css006.wav,6.075566616431352
hubert_base,11,ex03,conv-sympathetic,ex03-ex02_sympathetic-sad_015-ex03_sympathetic_css003.wav,6.181829808642835
hubert_base,11,ex03,conv-sympathetic,ex03-ex02_sympathetic-sad_015-ex03_sympathetic_css002.wav,9.846858556273364
hubert_base,11,ex03,conv-sympathetic,ex03-ex02_sympathetic-sad_015-ex03_sympathetic_css005.wav,9.892875429596884
hubert_base,11,ex03,conv-sympathetic,ex03-ex02_sympathetic-sad_015-ex03_sympathetic_css001.wav,7.805043484050999
hubert_base,11,ex03,conv-sympathetic,ex03-ex02_sympathetic-sad_015-ex03_sympathetic_css000.wav,8.094090143352412
hubert_base,11,ex03,conv-sympathetic,ex03-ex02_sympathetic-sad_015-ex03_sympathetic_css004.wav,9.945514135439511
hubert_base,11,ex03,read-whisper,ex03_whisper_00375.wav,7.0562947290245175
hubert_base,11,ex03,read-whisper,ex03_whisper_00377.wav,7.234101816608099
hubert_base,11,ex03,read-whisper,ex03_whisper_00363.wav,6.9543580371721765
hubert_base,11,ex03,read-whisper,ex03_whisper_00376.wav,7.546467331369124
hubert_base,11,ex03,read-whisper,ex03_whisper_00369.wav,7.5725201663200945
hubert_base,11,ex03,read-whisper,ex03_whisper_00379.wav,7.274536487576078
hubert_base,11,ex03,read-whisper,ex03_whisper_00366.wav,7.563125691709854
hubert_base,11,ex03,read-whisper,ex03_whisper_00372.wav,9.240060421441765
hubert_base,11,ex03,read-whisper,ex03_whisper_00380.wav,7.292547264446222
hubert_base,11,ex03,read-whisper,ex03_whisper_00373.wav,7.433997986745701
hubert_base,11,ex03,read-whisper,ex03_whisper_00365.wav,6.457755578472322
hubert_base,11,ex03,read-whisper,ex03_whisper_00360.wav,7.781427243534412
hubert_base,11,ex03,read-whisper,ex03_whisper_00370.wav,7.538268079676608
hubert_base,11,ex03,read-whisper,ex03_whisper_00371.wav,7.935207438231812
hubert_base,11,ex03,read-whisper,ex03_whisper_00368.wav,6.059564268538325
hubert_base,11,ex03,read-whisper,ex03_whisper_00378.wav,7.557280644187815
hubert_base,11,ex03,read-whisper,ex03_whisper_00374.wav,7.161214319837438
hubert_base,11,ex03,read-whisper,ex03_whisper_00367.wav,6.78250019240111
hubert_base,11,ex03,read-whisper,ex03_whisper_00364.wav,6.462792327390086
hubert_base,11,ex03,read-whisper,ex03_whisper_00361.wav,7.718423543518264
hubert_base,11,ex03,read-whisper,ex03_whisper_00362.wav,6.160117103732394
hubert_base,11,ex03,read-happy,ex03_happy_00366.wav,6.52093290883934
hubert_base,11,ex03,read-happy,ex03_happy_00374.wav,7.568879240078005
hubert_base,11,ex03,read-happy,ex03_happy_00377.wav,6.993831709961799
hubert_base,11,ex03,read-happy,ex03_happy_00365.wav,7.528320116238704
hubert_base,11,ex03,read-happy,ex03_happy_00370.wav,7.260565354793778
hubert_base,11,ex03,read-happy,ex03_happy_00368.wav,6.956836086008719
hubert_base,11,ex03,read-happy,ex03_happy_00369.wav,7.290423129907072
hubert_base,11,ex03,read-happy,ex03_happy_00372.wav,6.698506065445034
hubert_base,11,ex03,read-happy,ex03_happy_00362.wav,6.070822392765022
hubert_base,11,ex03,read-happy,ex03_happy_00363.wav,6.742739434292954
hubert_base,11,ex03,read-happy,ex03_happy_00364.wav,6.816390110620191
hubert_base,11,ex03,read-happy,ex03_happy_00371.wav,6.990336415163193
hubert_base,11,ex03,read-happy,ex03_happy_00376.wav,6.6500727459785685
