model,mode,swuggy_all,swuggy_invocab,sblimp
base_l11_without_init,dev,64.00375,70.899454,55.05555555555556
base_l11_without_init,test,64.25937499999999,70.87393599999999,54.865873015873014
frame_l12_without_init,dev,68.15625,77.588086,56.45634920634921
frame_l12_without_init,test,68.1834375,77.54488,55.823015873015876
frame_l13,dev,73.655,85.605866,61.22420634920635
frame_l13,test,73.37468750000001,85.202918,61.01269841269841
base_l11_with_init,dev,64.55625,71.562806,55.24603174603175
base_l11_with_init,test,64.78406249999999,71.558442,54.83253968253968
frame_l12_with_init,dev,68.52375,78.47654200000001,57.035714285714285
frame_l12_with_init,test,68.84656249999999,78.658146,56.17063492063492
gold_phonemes,dev,82.17999999999999,95.72243399999999,
gold_phonemes,test,81.5825,94.750613,62.765079365079366
